title,price,excerpt,images,categories,tags,type,visibility,status,description
Miel Janus,8000,Contenido: 500 gramos (envase de vidrio),miel-janus.jpeg,Productos Frescos>Granja,,simple,featured,publish,"Una limitada cantidad de colmenas garantiza la actividad de las abejas restringida al entorno de nuestra chacra biodinámica: Pasturas, frutales y la huerta las alimentan durante todo el año, logrando un producto sano, saludable alimento para toda ocasión.

Nuestra miel se envasa a pocos días de extraerla de las colmenas y va perdiendo fluidez con el paso del tiempo. La miel solidificada es absolutamente natural y producto de una cristalización de su gran contenido de azúcares y su envasado a temperatura ambiente cuando todavía es fluida. Puede contener ""impurezas"" como cera y/o pólen ya que no la sometemos a ningún proceso de filtrado; bienvenidas sean. Ciertamente es una miel ""dura"", así lo quiere la naturaleza.

Para ""ablandarla"" un poco, basta con poner el frasco en agua caliente y dejarlo sin fuego hasta que tome la temperatura ambiente. Mantener en la alacena ya que no es necesario conservarla en la heladera."
Miel Millakó,5500,Contenido: 500 gramos (envase de PVC),miel-millako.jpeg,Productos Frescos>Granja,,simple,featured,unpublish,"Con agrado presentamos al primer producto asociado a nuestro Almacén Janus. Confiamos en la miel Millakó por la dedicación de la famila Ingelmo, que sumada a una estética prolija  no oculta su condición de artesanal.
<p class=""p1"">Miel Millakó, cuenta con colmenares propios en zona de transición entre monte nativo y chacras aledañas a Centenario (Provincia de Neuquén) y Contralmirante Guerrico (Provincia de Río Negro). Las chacras son de producción orgánica, biodinámica o conservan poco nivel agrícola haciéndola una zona de bajo nivel de agroquímicos. La diversidad floral de la zona está compuesta, en el monte porJarilla, alpataco, chilca, chañar y Olivillo y en las chacras po alfalfa, flor amarilla, melilotus y abrepuño, entre muchas otras.</p>
Esta miel va perdiendo fluidez con el paso del tiempo. La miel solidificada sigue siendo natural. No es necesario conservarla en la heladera.

&nbsp;"
Tomate triturado 500 cc,4000,Contenido: 500 cc,tomate-triturado-500-cc.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas las botellas se estabilizan por pasteurización. Absolutamente natural. Una vez abierto conservar en heladera y consumir en la semana.
Tomate triturado 1000 cc,6000,Contenido: 1.000 cc,tomate-triturado-1000-cc.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas las botellas se estabilizan por pasteurización. Absolutamente natural. Una vez abierto conservar en heladera y consumir en la semana.
Pimentón,2000,Contenido: 20 gramos,pimenton.jpeg,Deshidratados>Condimentos|Productos Elaborados,,simple,featured,unpublish,Morrón de 4 cascos secado al sol y finamente molido. Muy gustoso y extremadamente aromatizado. ¡ ¡Y qué color! Experimente un sabor tan único como natural. Una pizquita es más que suficiente para sentir el sabor de lo diferente. Mantener en un envase hermético.
Orégano,2000,Contenido: 10 gramos,oregano.jpeg,Deshidratados>Condimentos|Productos Elaborados,,simple,featured,publish,Orégano secado al calor de sol y finamente molido. Muy gustoso y extremadamente aromatizado. ¡ ¡Y qué color! Experimente un sabor tan único como natural. Una pizquita es más que suficiente para sentir el sabor de lo diferente. Mantener en un envase hermético.
Hongos secos,2000,Contenido: 20 gramos,hongos-secos.jpeg,Productos Elaborados|Deshidratados>Verduras,,simple,featured|outofstock,draft,Gírgolas trozadas y secadas al calor de sol. Gustosas y aromatizadas. Experimente un sabor tan único como natural. Mantener en un envase hermético.
Tomates secos,2000,Contenido: 30 gramos,tomates-secos.jpeg,Deshidratados>Verduras,,simple,featured,unpublish,Rodajas de tomates Perita y Cherry secadas al calor de sol. Gustosas y aromatizadas. Experimente un sabor tan único como natural. Mantener en un envase hermético.
Uvas pasas,4000,Contenido: 100 gramos,uvas-pasas.jpeg,Deshidratados>Frutas|Productos Elaborados,,simple,featured,publish,"Uvas enteras (con cabito) secadas al calor de sol. Gustosas y aromatizadas. Experimente un sabor tan único como natural. Mantener en un envase hermético.

Pueden ser comidas crudas o empleadas en platos, pasteles y repostería. Resulta beneficiosa para el cuerpo al ayudar a resolver problemas intestinales como el estreñimiento y ralentiza el envejecimiento prematuro de la piel, al contener antioxidantes."
Manzana deshidratada,2000,Contenido: 60 gramos,manzana-deshidratada.jpeg,Deshidratados>Frutas|Productos Elaborados,,simple,featured,unpublish,Rodajas de Manzanas Red Delicioiu secadas al calor de sol. Experimente un sabor tan único como natural. Mantener en un envase hermético.
Salvia,2000,Contenido: 25 gramos,salvia.jpeg,Deshidratados>Infusiones|Productos Elaborados,,simple,featured,unpublish,"Ramitas de Salvia secadas al calor de sol. Experimente su aroma y un sabor tan único como natural. Mantener en un envase hermético.

La <b>salvia</b> es una hierba aromática y medicinal considerada como uno de los mejores antibióticos naturales <b>que</b> existen. A nivel gastronómico, se usa mucho en la cocina mediterránea, tanto fresca como seca dando sabor y aroma a aceites y vinagres."
Infusión Energizante,700,"Contenido: 25 gramos

(ortiga, diente de león, manzana)",infusion-energizante.jpeg,Deshidratados>Infusiones|Productos Elaborados,,simple,featured,draft,Infusión ENERGIZANTE. Combinación de hierbas secadas al calor del sol y mezcladas en las proporciones necesarias para facilitarte una buena jornada.
Salsa de Tomate 500 cc,360,Contenido: 500 cc,salsa-de-tomate-500-cc.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,draft,"Un escalón más en la elaboración de nuestros tomates biodinámicos. Tan suave como sabrosa esta salsita jerarquiza todo tipo de platos. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas las botellas se estabilizan por pasteurización. Absolutamente natural. Una vez abierto conservar en heladera y consumir en la semana."

Caldo de GALLINA,3000,Contenido: 360 cc,caldo-de-gallina.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,draft,"Sólo Caldo de Gallina, alimentadas con nuestras verduras y maiz biodinámico. Llevalo a tu mesa listo para incorporarlo a tus preparaciones o disfrutarlo en una taza con los ojos cerrados para revivir sabores olvidados. Siempre en la búsqueda de nuevas sensaciones, el resultado te sorprenderá. Naturales y sanos como ningún otro. Diluir a tu gusto para consumir como bebida revitalizadora, saborizar arroz, guisos o salsas. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
Crema untable de BERENJENA,4000,Contenido: 200 gr,crema-untable-de-berenjena.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <em><strong>8 variedades de Cremas para untar</strong></em> son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de ensaladas, caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Crema untable de ZANAHORIA,4000,Contenido: 200 gr,crema-untable-de-zanahoria.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <em><strong>8 variedades de Cremas para untar</strong></em> son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de ensaladas, caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Crema untable de BROCOLI,4000,Contenido: 200 gr,crema-untable-de-brocoli.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <em><strong>8 variedades de Cremas para untar</strong></em> son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de ensaladas, caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Crema untable de COLIFLOR,3000,Contenido: 200 gr,crema-untable-de-coliflor.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,unpublish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <em><strong>8 variedades de Cremas para untar</strong></em> son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de ensaladas, caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Crema untable de GALLINA,4000,Contenido: 200 gr,crema-untable-de-gallina.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,unpublish,"Esta Crema de <strong>GALLINA</strong> es diferente y de esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <em><strong>8 variedades de Cremas para  untar</strong> </em>son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Crema untable de REMOLACHA,4000,Contenido: 200 gr,crema-untable-de-remolacha.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,unpublish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <strong><em>8 variedades de Cremas para untar</em></strong> son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de ensaladas, caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Crema untable de NABO,4000,Contenido: 200 gr,crema-untable-de-nabo.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <em><strong>8 variedades de Cremas para untar</strong> </em>son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de ensaladas, caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Crema untable de ZANAHORIA,4000,Contenido: 200 gr,crema-untable-de-zanahoria.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,draft,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestras <strong>8 variedades de Cremas para untar</strong> son creación de la Naturaleza. Verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para untar en nuestros Grisines crocantes, pan recién tostado o realzar colores y sabores de ensaladas, caldos, sopas, guisos o arroz. No pongas límite a tu imaginación.  Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana."
Escabeche de BERENJENA,10000,Contenido: 360 cc,escabeche-de-berenjena.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"El <strong>Escabeche</strong> es un método de conservación de alimentos en <strong>vinagre</strong>. Se llama así también al alimento así obtenido. El método para procesar un alimento en escabeche está dentro de las operaciones denominadas en cocina como <strong>Marinado</strong>.

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Nuestros Escabeches son creación de la Naturaleza y nosotros sólo somos el medio que elegistes para acercarlos a tu mesa.

Combinamos verduras biodinámicas cosechadas cuando nos lo pide la huerta. En la cocina se acondicionan apropiadamente  y se preparan sin secretos. El resultado te sorprenderá. Productos frescos y sanos como ningún otro. Para consumir fríos con nuestros Grisines crocantes, pan fresco o recién tostado. Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana o dos."
